English Word,Collision Count,Candidates,Action
clear,14,明|较|显然|晴|明白|明显|可见|清楚|朗|清|澄|了|清晰|清理,Pick One
change,7,变动|改变|易|转化|换|转变|变化,Pick One
hard,7,硬|坚硬|刚|辛苦|困难|固|监,Pick One
if,7,要是|的话|假若|假如|倘|若是|如果,Pick One
inside,6,内|里头|之中|之内|里面|里,Pick One
collapse,6,崩|崩溃|塌|倒塌|坍|垮,Pick One
collect,6,捡|搜集|收集|拢|攒|辑,Pick One
position,6,立场|地位|部位|位置|定位|位,Pick One
group,6,组|会|帮|团体|集团|拨,Pick One
elegant,6,郁|漂|藻|雅|斐|优雅,Pick One
beg,5,乞讨|乞|乞求|恳求|央,Pick One
whole,5,全部|整体|完|统|整整,Pick One
complete,5,完全|完成|周|完整|毕,Pick One
return,5,归还|退还|返回|回去|回来,Pick One
nature,5,性格|自然界|大自然|性质|自然,Pick One
attack,5,攻击|进攻|征|冲击|抨击,Pick One
imitate,5,模仿|模|摸|仿|效,Pick One
rich,5,沃|富有|丰富|富|阔,Pick One
reply,5,答应|回复|答覆|回答|回信,Pick One
continue,5,续|继续|延续|接着|持续,Pick One
miss,5,脱靶|思念|小姐|想念|错过,Pick One
identical,4,一致|相同|相同的|同一,Pick One
tired,4,乏|辛|疲劳|倦,Pick One
from,4,从|自|从中|离,Pick One
urge,4,催促|促使|敦促|催,Pick One
miserable,4,凄惨|悲惨|惨|痛苦,Pick One
countless,4,千万|无数的|无数|数不清,Pick One
regret,4,后悔|遗憾|抱歉|悔,Pick One
direction,4,向|趋向|方向|道,Pick One
contain,4,含有|容纳|盛|包含,Pick One
cough,4,咳嗽|嗽|咯|咳,Pick One
goods,4,商品|货物|产品|货,Pick One
earth,4,土|泥土|地|地球,Pick One
bury,4,埋葬|厝|埋|葬,Pick One
alone,4,孤独|独|单独|独自,Pick One
respect,4,尊敬|遵守|尊重|方面,Pick One
mound,4,岗|土墩|邱|丘,Pick One
peaceful,4,康|宁|和平|平静,Pick One
stingy,4,抠|靳|吝啬|小气,Pick One
choose,4,挑|选择|选取|拣,Pick One
pay,4,支付|付|付出|付款,Pick One
support,4,支持|撑|支撑|持,Pick One
female,4,母|雌|女|女性,Pick One
wave,4,浪|波|挥手|阵,Pick One
speech,4,演说|讲|言语|演讲,Pick One
bake,4,烘烤|烙|烘|烤,Pick One
father,4,父|父亲|爸爸|爸,Pick One
know,4,知道|认得|得知|体会,Pick One
member,4,社员|成员|会员|议员,Pick One
kind,4,类|种类|种|善良,Pick One
record,4,纪录|籍|记录|录音,Pick One
beard,4,胡|胡须|胡子|须,Pick One
crack,4,裂|隙|裂缝|缝,Pick One
body,4,躬|身|体|身体,Pick One
defend,4,防御|保卫|捍卫|辩护,Pick One
remove,4,除|撤|搬|脱掉,Pick One
gather,4,集会|聚|聚集|采,Pick One
shake,4,震|摇|摇动|震撼,Pick One
thousand,3,一千|千|仟,Pick One
below,3,下面|在下面|以下,Pick One
difficult,3,不易|难|艰,Pick One
correct,3,不错|然|纠,Pick One
focus,3,专注|焦点|聚焦,Pick One
silk,3,丝|帛|丝绸,Pick One
tight,3,严|紧|瘦,Pick One
solemn,3,严肃|庄严的|穆,Pick One
china,3,中华|中国|华,Pick One
ride,3,乘|骑|乘坐,Pick One
proud,3,傲|骄|骄傲,Pick One
tradition,3,傳統|传统|舞狮,Pick One
light,3,光|轻|亮,Pick One
army,3,军队|军|营,Pick One
share,3,分享|股票|股,Pick One
sentence,3,判刑|句|句子,Pick One
razor,3,剃刀|剃须刀片|剃须刀,Pick One
theater,3,剧场|戏院|剧院,Pick One
medicine,3,医学|药|药品,Pick One
reason,3,原因|理|理由,Pick One
friendly,3,友好|友好的|和气,Pick One
double,3,双重|兼|双倍,Pick One
popular,3,受欢迎|流行|热门,Pick One
roar,3,号|咆哮|吼,Pick One
above,3,在上面|以上|之上,Pick One
hall,3,堂|厅|大厅,Pick One
strong,3,壮|强壮|坚,Pick One
outside,3,外|外面|之外,Pick One
jealous,3,嫉妒|忌|妒,Pick One
peak,3,尖峰|山峰|峰,Pick One
flavor,3,尝|口味|味道,Pick One
bank,3,岸|畔|银行,Pick One
adore,3,崇拜|爱慕|喜爱,Pick One
emperor,3,帝|皇|皇帝,Pick One
width,3,幅|幅度|宽度,Pick One
flat,3,平坦|平|扁,Pick One
court,3,庭|法庭|法院,Pick One
lift,3,开放|举重|掀,Pick One
bend,3,弯|弯曲|拗,Pick One
idea,3,意思|想法|意,Pick One
foolish,3,愚蠢|傻|呆,Pick One
generous,3,慷慨|厚|慨,Pick One
expand,3,拓|膨胀|拓展,Pick One
save,3,拯救|保存|省得,Pick One
hold,3,握住|持有|秉,Pick One
scatter,3,撒|挥|披,Pick One
sow,3,播种机|播种|播,Pick One
branch,3,支|树枝|枝,Pick One
dictionary,3,新华字典|词典|辞典,Pick One
fury,3,暴怒|狂怒|愤怒,Pick One
clothes,3,服|衣|衣服,Pick One
towards,3,朝|朝向|奔,Pick One
machine,3,机|机械|机器,Pick One
material,3,材料|料|材,Pick One
sign,3,标记|标志|志,Pick One
mark,3,标记|符|记,Pick One
stick,3,棍|棒子|棍子,Pick One
current,3,水流|当前|现时,Pick One
seal,3,海豹|记号|印证,Pick One
sell,3,游说|卖|销售,Pick One
dust,3,灰尘|尘|粉,Pick One
disaster,3,灾难|祸|灾,Pick One
order,3,点餐|秩序|令,Pick One
familiar,3,熟|昵|熟悉的,Pick One
swallow,3,燕子|吞咽|燕,Pick One
fierce,3,猛烈|凶猛|凶,Pick One
lead,3,率领|领导|主角,Pick One
field,3,田地|野|田,Pick One
leave,3,留|别|离开,Pick One
exhausted,3,疲惫|尽|穷,Pick One
disease,3,病症|症|疾病,Pick One
scale,3,登|规模|秤,Pick One
royal,3,皇家的|皇室|皇家卫队,Pick One
blind,3,盲|盲人|瞎,Pick One
build,3,筑|建造|搭,Pick One
chest,3,箱子|膛|胸,Pick One
type,3,类型|式|打字,Pick One
sticky,3,粘性|粘|黏,Pick One
level,3,级|水平|水准,Pick One
coil,3,线圈|卷|缠,Pick One
beautiful,3,美丽|丽|美,Pick One
swollen,3,肿胀|胀|肿,Pick One
handsome,3,英俊|秀|帅,Pick One
mean,3,薄|刻薄|凶,Pick One
melt,3,融化|溶化|融,Pick One
expression,3,表现|神色|表情,Pick One
show,3,表露|展示|放映,Pick One
certificate,3,证|毕业证书|证书,Pick One
talk,3,谈话|言|说话,Pick One
lose,3,输|负|丧失,Pick One
border,3,边界|境|际,Pick One
avoid,3,避|避免|躲,Pick One
explain,3,释|交代|解释,Pick One
key,3,钥|琴键|键,Pick One
mistake,3,错误|错|误,Pick One
male,3,雄性|男性|男,Pick One
local,3,青团|当地|本地,Pick One
target,3,靶|目标|对象,Pick One
altogether,2,一共|总共,Pick One
next,2,下一个|其次,Pick One
impolite,2,不礼貌|不客气,Pick One
bad,2,不良|坏,Pick One
expert,2,专家|内行,Pick One
third,2,丙|第三,Pick One
grim,2,严峻|冷酷,Pick One
serious,2,严肃|郑重,Pick One
host,2,主办|主持人,Pick One
zigzag,2,之字形|锯齿形,Pick One
times,2,乘|倍,Pick One
product,2,产物|乘积,Pick One
pavilion,2,亭|凉亭,Pick One
autograph,2,亲笔签名|签名,Pick One
talent,2,人才|才能,Pick One
nasty,2,令人厌恶的|讨厌的,Pick One
price,2,价|价格,Pick One
copy,2,份|抄袭,Pick One
decide,2,作主|决定,Pick One
author,2,作者|作家,Pick One
messenger,2,使|信使,Pick One
nephew,2,侄|侄子,Pick One
confess,2,供认|忏悔,Pick One
cheap,2,便宜|低廉,Pick One
protect,2,保护|护,Pick One
trust,2,信任|信托,Pick One
envelope,2,信封|外壳,Pick One
stoop,2,俯|弯腰,Pick One
fake,2,假的|假,Pick One
monk,2,僧侣|僧,Pick One
son,2,儿|儿子,Pick One
fill,2,充|填充,Pick One
orchid,2,兰花|兰,Pick One
underwear,2,内衣|衬,Pick One
hail,2,冰雹|招手叫车,Pick One
soar,2,凌|翱翔,Pick One
ferocious,2,凶猛|猛,Pick One
row,2,划船|列,Pick One
chop,2,剁|切,Pick One
shave,2,剃|刮胡子,Pick One
peel,2,剥|剥皮,Pick One
add,2,加|添加,Pick One
cannon,2,加农炮|炮,Pick One
brave,2,勇|勇敢,Pick One
strangle,2,勒|勒死,Pick One
scoop,2,勺子|杓子,Pick One
pack,2,包装|打包,Pick One
dagger,2,匕首|匕,Pick One
north,2,北|北方,Pick One
empty,2,匮|空的,Pick One
south,2,南|南方,Pick One
museum,2,博物院|博物馆,Pick One
health,2,卫生|健康,Pick One
history,2,历史|史,Pick One
excavate,2,发掘|挖掘,Pick One
fever,2,发烧|烧,Pick One
repeat,2,叠|重复,Pick One
ancient,2,古代|古,Pick One
wacky,2,古怪|古怪的,Pick One
knock,2,叩|敲,Pick One
sting,2,叮|蛰,Pick One
sigh,2,叹气|嗟,Pick One
chorus,2,合唱团|合唱,Pick One
toast,2,吐司|敬酒,Pick One
absorb,2,吸收|摄取,Pick One
vomit,2,呕吐|吐,Pick One
choke,2,呛|窒息,Pick One
moan,2,呻吟|吟,Pick One
harmony,2,和谐|和声,Pick One
hum,2,哼|哼唱,Pick One
sip,2,啜饮|啐,Pick One
gasp,2,喘息|喘气,Pick One
crunch,2,嘎吱|松脆,Pick One
lip,2,嘴唇|唇,Pick One
organ,2,器官|机关,Pick One
team,2,团队|班,Pick One
drowsy,2,困倦|困倦的,Pick One
confused,2,困惑|混,Pick One
solid,2,固体|确,Pick One
place,2,地点|场,Pick One
geography,2,地理|地理学,Pick One
tomb,2,坟墓|墓,Pick One
slope,2,坡|斜坡,Pick One
rubbish,2,垃圾|废物,Pick One
model,2,型|模型,Pick One
grow,2,增长|生长,Pick One
magnificent,2,壮丽|壮丽的,Pick One
large,2,大|硕,Pick One
loud,2,大声|响,Pick One
clip,2,夹|回形针,Pick One
bizarre,2,奇异|古怪,Pick One
scamper,2,奔跑|雀跃,Pick One
traitor,2,奸|叛徒,Pick One
wife,2,妻|妻子,Pick One
wedding,2,婚姻|婚礼,Pick One
bullet,2,子弹|弹,Pick One
grandson,2,孙子|孙,Pick One
learn,2,学习|学,Pick One
reassure,2,安慰|慰,Pick One
experiment,2,实验|试,Pick One
customer,2,客|顾客,Pick One
palace,2,宫殿|宫,Pick One
pest,2,害虫|毒物,Pick One
feast,2,宴|盛宴,Pick One
banquet,2,宴会|席,Pick One
chill,2,寒冷|放松,Pick One
examine,2,察|检查,Pick One
couple,2,对|情侣,Pick One
shoot,2,射击|射,Pick One
grove,2,小树林|树林,Pick One
try,2,尝试|设法,Pick One
frequent,2,尿频|频繁,Pick One
stool,2,屎|凳子,Pick One
reject,2,屏|拒绝,Pick One
valley,2,山谷|流域,Pick One
island,2,岛屿|岛,Pick One
gorge,2,峡|峡谷,Pick One
difference,2,差|分别,Pick One
drought,2,干旱|旱,Pick One
plain,2,平原|素,Pick One
average,2,平均数|平均,Pick One
beam,2,平衡木|梁,Pick One
kindergarten,2,幼稚园|幼儿园,Pick One
vast,2,广阔|广大,Pick One
should,2,应该|应当,Pick One
hut,2,庵|茅草小屋,Pick One
begin,2,开始|始,Pick One
lane,2,弄|巷,Pick One
string,2,弦|串,Pick One
busy,2,忙碌|忙,Pick One
loyal,2,忠诚|忠,Pick One
ignore,2,忽视|忽略,Pick One
cliff,2,悬崖|厂,Pick One
heal,2,愈|愈合,Pick One
meaning,2,意义|含意,Pick One
blank,2,愣|空,Pick One
hate,2,憎恨|怨恨,Pick One
lazy,2,懒|懒惰,Pick One
spear,2,戈|矛,Pick One
adult,2,成人|大人,Pick One
palm,2,手掌|棕,Pick One
disturb,2,打扰|搔,Pick One
tie,2,打结|领带,Pick One
speaker,2,扬声器|议长,Pick One
reverse,2,扭转|倒车,Pick One
trick,2,技巧|戏,Pick One
handle,2,把|门把手,Pick One
surrender,2,投降|降,Pick One
resist,2,抵抗|牴,Pick One
worry,2,担忧|着急,Pick One
select,2,拔|选择,Pick One
pluck,2,拔|采摘,Pick One
drag,2,拖|拽,Pick One
fist,2,拳头|拳,Pick One
spell,2,拼写|咒语,Pick One
accuse,2,指责|控告,Pick One
fussy,2,挑剔的|罗,Pick One
struggle,2,挣扎|争,Pick One
crowded,2,挤|拥挤,Pick One
fail,2,挫|失败,Pick One
quest,2,探险|探索,Pick One
approach,2,接近|来临,Pick One
toss,2,掷|抛,Pick One
massage,2,揉|按摩,Pick One
insert,2,插入|插,Pick One
greet,2,揖|致敬,Pick One
glaze,2,搪瓷杯|糖霜,Pick One
porter,2,搬运工|夫,Pick One
assist,2,摄|帮助,Pick One
break,2,摧|断裂,Pick One
retreat,2,撤退|退,Pick One
rub,2,擦|摩,Pick One
wipe,2,擦拭|拭,Pick One
enemy,2,敌人|敌,Pick One
file,2,文件夾|档案,Pick One
travel,2,旅行|游,Pick One
banner,2,旗|横幅,Pick One
scoundrel,2,无赖|坏蛋,Pick One
early,2,早|先,Pick One
fragile,2,易碎的|易碎,Pick One
crystal,2,晶|水晶,Pick One
wisdom,2,智|智慧,Pick One
temporary,2,暂时|临时的,Pick One
best,2,最好的|最好,Pick One
method,2,术|方法,Pick One
crew,2,机组人员|船员,Pick One
plum,2,李子|李,Pick One
loose,2,松|宽松,Pick One
maple,2,枫叶|枫,Pick One
pillar,2,柱子|柱,Pick One
hedge,2,树篱|不置可否,Pick One
core,2,核心|果核,Pick One
stem,2,梗|柯,Pick One
mallet,2,槌|木槌,Pick One
cage,2,樊|笼子,Pick One
song,2,歌曲|歌,Pick One
weapon,2,武器|戎,Pick One
warrior,2,武士|勇士,Pick One
dangerous,2,殆|危险,Pick One
paragraph,2,段|段落,Pick One
perish,2,毁灭|去死,Pick One
mother,2,母亲|娘,Pick One
poison,2,毒药|毒,Pick One
match,2,比赛|匹配,Pick One
fur,2,毛皮|裘,Pick One
permanent,2,永久的|恒,Pick One
pond,2,池塘|池,Pick One
ooze,2,汪|渗出,Pick One
ditch,2,沟|沟渠,Pick One
communicate,2,沟通|交流,Pick One
upset,2,沮丧|难过,Pick One
cure,2,治|治疗,Pick One
judge,2,法官|判定,Pick One
safe,2,泰|安全,Pick One
cave,2,洞|洞穴,Pick One
flood,2,洪水|洪,Pick One
continent,2,洲|大陆,Pick One
alive,2,活|活着的,Pick One
side,2,测|边,Pick One
measure,2,测量|措施,Pick One
mix,2,混合|掺,Pick One
march,2,游行|三月,Pick One
spill,2,溢出|洒,Pick One
slip,2,滑倒|溜走,Pick One
beach,2,滩|海滩,Pick One
funnel,2,漏|漏斗,Pick One
tide,2,潮|潮汐,Pick One
passion,2,激情|热情,Pick One
annoying,2,烦人|恼火,Pick One
anxious,2,焦虑|担心,Pick One
blast,2,爆炸|吹,Pick One
explosion,2,爆炸|轰,Pick One
plaque,2,牌匾|萬世師表,Pick One
shepherd,2,牧羊人|牧,Pick One
calf,2,犊|小牛,Pick One
crime,2,犯罪|辜,Pick One
porcelain,2,瓷器|瓷,Pick One
tile,2,瓷砖|瓦,Pick One
sweet,2,甜|甘,Pick One
manufacture,2,生产|制造,Pick One
fling,2,甩|投掷,Pick One
scar,2,疤痕|疤,Pick One
patient,2,病人|患者,Pick One
paralyzed,2,瘫|瘫痪,Pick One
legend,2,白蛇传说|神话,Pick One
hundred,2,百|佰,Pick One
leather,2,皮革|皮,Pick One
armor,2,盔甲|甲,Pick One
tray,2,盘子|托盘,Pick One
destination,2,目的地|北京南站,Pick One
opposite,2,相反|对面,Pick One
eyebrow,2,眉|眉毛,Pick One
observe,2,睹|观察,Pick One
arrow,2,矢|箭,Pick One
smash,2,砸|砸碎,Pick One
gown,2,礼服|袍,Pick One
ancestor,2,祖|祖先,Pick One
exit,2,离去|出口,Pick One
poor,2,穷人|贫,Pick One
competition,2,竞争|赛,Pick One
fool,2,笨蛋|傻瓜,Pick One
second,2,第二|秒,Pick One
muscle,2,筋|肌肉,Pick One
category,2,类别|范畴,Pick One
pastry,2,糕点|点心,Pick One
horrid,2,糟糕|可怕的,Pick One
weigh,2,约|称重,Pick One
appointment,2,约会|预约,Pick One
about,2,约莫|关于,Pick One
fine,2,细|罚款,Pick One
kidnap,2,绑架|拐,Pick One
jar,2,缸|罐子,Pick One
virtue,2,美德|德,Pick One
shy,2,羞|害羞,Pick One
humiliating,2,羞辱|屈辱,Pick One
shame,2,耻|羞耻,Pick One
elbow,2,肘|肘部,Pick One
skin,2,肤|皮肤,Pick One
courage,2,胆|勇气,Pick One
victory,2,胜利|捷,Pick One
heel,2,脚后跟|跟,Pick One
decay,2,腐烂|腐,Pick One
wrist,2,腕|手腕,Pick One
waist,2,腰部|腰,Pick One
butt,2,臀|屁股,Pick One
garden,2,花园|园,Pick One
wreath,2,花圈|花环,Pick One
hero,2,英雄|杰,Pick One
pattern,2,范|图案,Pick One
lawn,2,草坪|草地,Pick One
dish,2,菜肴|菜,Pick One
insect,2,虫|昆虫,Pick One
bean,2,蚕豆|豆,Pick One
flea,2,蚤|跳蚤,Pick One
profession,2,行|职业,Pick One
operation,2,行动|手术,Pick One
street,2,街|街道,Pick One
sleeve,2,袖子|袖,Pick One
request,2,要求|请求,Pick One
opinion,2,见解|意见,Pick One
meet,2,见面|遇见,Pick One
angle,2,角度|角,Pick One
settle,2,解决|安顿,Pick One
calculate,2,计算|亿,Pick One
recognize,2,认出|承认,Pick One
disgusting,2,讨厌|厌恶,Pick One
permit,2,让|容许,Pick One
drill,2,训练|电钻,Pick One
language,2,语言|文,Pick One
comma,2,读|逗号,Pick One
cereal,2,谷物早餐|禾,Pick One
chess,2,象棋|棋,Pick One
scold,2,责骂|骂,Pick One
expensive,2,贵|昂贵,Pick One
win,2,赢得|赢,Pick One
overtake,2,超|超车,Pick One
distance,2,距离|距,Pick One
stamp,2,踩|印,Pick One
waddle,2,蹒跚|跩,Pick One
height,2,身高|高度,Pick One
dodge,2,躲避|闪避,Pick One
rim,2,边缘|杯子的边缘,Pick One
past,2,过去|往,Pick One
chain,2,连锁|链条,Pick One
suit,2,适应|西装,Pick One
distant,2,遥|遥远的,Pick One
evil,2,邪恶|恶,Pick One
gloomy,2,郁闷|阴沉,Pick One
pick,2,采摘|掐,Pick One
metal,2,金属|金,Pick One
sharp,2,锋利|激,Pick One
pound,2,锤击|捣,Pick One
length,2,长度|长,Pick One
trap,2,陷|陷阱,Pick One
rumble,2,隆隆声|咕咕叫,Pick One
unbearable,2,难以忍受|难以忍受的,Pick One
incredible,2,难以置信|难以置信的,Pick One
concentrate,2,集中|浓缩,Pick One
dew,2,露珠|露,Pick One
vein,2,静脉|血管,Pick One
confront,2,面对|对抗,Pick One
expect,2,预期|期待,Pick One
predict,2,预测|预计,Pick One
volume,2,额|体积,Pick One
scenery,2,风景|景点,Pick One
storm,2,风暴|暴风雨,Pick One
satisfied,2,饱|满意,Pick One
highway,2,高速公路|冲,Pick One
wheat,2,麦|小麦,Pick One
